questionText,optionA,optionB,optionC,optionD,correctOption,explanation,marks,negativeMarks,subject,chapter,topic,difficulty,examYear,isPYQ,isRepeated,importance
Sample Question 1: What is the correct answer?,Option A,Option B,Option C,Option D,A,This is explanation for question 1.,1,0.25,maths,Geometry,Triangles,medium,2016,false,false,medium
Sample Question 2: What is the correct answer?,Option A,Option B,Option C,Option D,A,This is explanation for question 2.,1,0.25,physics,Mechanics,Newton Laws,hard,2017,true,false,high
Sample Question 3: What is the correct answer?,Option A,Option B,Option C,Option D,A,This is explanation for question 3.,1,0.25,chemistry,Organic Chemistry,Hydrocarbons,easy,2018,false,false,low
Sample Question 4: What is the correct answer?,Option A,Option B,Option C,Option D,A,This is explanation for question 4.,1,0.25,biology,Genetics,DNA Structure,medium,2019,true,false,medium
Sample Question 5: What is the correct answer?,Option A,Option B,Option C,Option D,A,This is explanation for question 5.,1,0.25,maths,Algebra,Linear Equations,hard,2020,false,true,high
Sample Question 6: What is the correct answer?,Option A,Option B,Option C,Option D,A,This is explanation for question 6.,1,0.25,maths,Geometry,Triangles,easy,2021,true,false,low
Sample Question 7: What is the correct answer?,Option A,Option B,Option C,Option D,A,This is explanation for question 7.,1,0.25,physics,Mechanics,Newton Laws,medium,2022,false,false,medium
Sample Question 8: What is the correct answer?,Option A,Option B,Option C,Option D,A,This is explanation for question 8.,1,0.25,chemistry,Organic Chemistry,Hydrocarbons,hard,2023,true,false,high
Sample Question 9: What is the correct answer?,Option A,Option B,Option C,Option D,A,This is explanation for question 9.,1,0.25,biology,Genetics,DNA Structure,easy,2024,false,false,low
Sample Question 10: What is the correct answer?,Option A,Option B,Option C,Option D,A,This is explanation for question 10.,1,0.25,maths,Algebra,Linear Equations,medium,2015,true,true,medium
Sample Question 11: What is the correct answer?,Option A,Option B,Option C,Option D,A,This is explanation for question 11.,1,0.25,maths,Geometry,Triangles,hard,2016,false,false,high
Sample Question 12: What is the correct answer?,Option A,Option B,Option C,Option D,A,This is explanation for question 12.,1,0.25,physics,Mechanics,Newton Laws,easy,2017,true,false,low
Sample Question 13: What is the correct answer?,Option A,Option B,Option C,Option D,A,This is explanation for question 13.,1,0.25,chemistry,Organic Chemistry,Hydrocarbons,medium,2018,false,false,medium
Sample Question 14: What is the correct answer?,Option A,Option B,Option C,Option D,A,This is explanation for question 14.,1,0.25,biology,Genetics,DNA Structure,hard,2019,true,false,high
Sample Question 15: What is the correct answer?,Option A,Option B,Option C,Option D,A,This is explanation for question 15.,1,0.25,maths,Algebra,Linear Equations,easy,2020,false,true,low
Sample Question 16: What is the correct answer?,Option A,Option B,Option C,Option D,A,This is explanation for question 16.,1,0.25,maths,Geometry,Triangles,medium,2021,true,false,medium
Sample Question 17: What is the correct answer?,Option A,Option B,Option C,Option D,A,This is explanation for question 17.,1,0.25,physics,Mechanics,Newton Laws,hard,2022,false,false,high
Sample Question 18: What is the correct answer?,Option A,Option B,Option C,Option D,A,This is explanation for question 18.,1,0.25,chemistry,Organic Chemistry,Hydrocarbons,easy,2023,true,false,low
Sample Question 19: What is the correct answer?,Option A,Option B,Option C,Option D,A,This is explanation for question 19.,1,0.25,biology,Genetics,DNA Structure,medium,2024,false,false,medium
Sample Question 20: What is the correct answer?,Option A,Option B,Option C,Option D,A,This is explanation for question 20.,1,0.25,maths,Algebra,Linear Equations,hard,2015,true,true,high
Sample Question 21: What is the correct answer?,Option A,Option B,Option C,Option D,A,This is explanation for question 21.,1,0.25,maths,Geometry,Triangles,easy,2016,false,false,low
Sample Question 22: What is the correct answer?,Option A,Option B,Option C,Option D,A,This is explanation for question 22.,1,0.25,physics,Mechanics,Newton Laws,medium,2017,true,false,medium
Sample Question 23: What is the correct answer?,Option A,Option B,Option C,Option D,A,This is explanation for question 23.,1,0.25,chemistry,Organic Chemistry,Hydrocarbons,hard,2018,false,false,high
Sample Question 24: What is the correct answer?,Option A,Option B,Option C,Option D,A,This is explanation for question 24.,1,0.25,biology,Genetics,DNA Structure,easy,2019,true,false,low
Sample Question 25: What is the correct answer?,Option A,Option B,Option C,Option D,A,This is explanation for question 25.,1,0.25,maths,Algebra,Linear Equations,medium,2020,false,true,medium
Sample Question 26: What is the correct answer?,Option A,Option B,Option C,Option D,A,This is explanation for question 26.,1,0.25,maths,Geometry,Triangles,hard,2021,true,false,high
Sample Question 27: What is the correct answer?,Option A,Option B,Option C,Option D,A,This is explanation for question 27.,1,0.25,physics,Mechanics,Newton Laws,easy,2022,false,false,low
Sample Question 28: What is the correct answer?,Option A,Option B,Option C,Option D,A,This is explanation for question 28.,1,0.25,chemistry,Organic Chemistry,Hydrocarbons,medium,2023,true,false,medium
Sample Question 29: What is the correct answer?,Option A,Option B,Option C,Option D,A,This is explanation for question 29.,1,0.25,biology,Genetics,DNA Structure,hard,2024,false,false,high
Sample Question 30: What is the correct answer?,Option A,Option B,Option C,Option D,A,This is explanation for question 30.,1,0.25,maths,Algebra,Linear Equations,easy,2015,true,true,low
